Username,Machine,Build,Status,LastHeartbeat,AssemblyVersion
Fusion Octane,WORKSHOP,ICQA,Active,2026-06-18 00:21:40,2.1.4.49
svcLFWarehouse1,L508483A5E67EF,RDC,Inactive,2026-06-19 14:36:31,2.1.4.56
svcLFWarehouse1,L5084B6D8E90DE,RDC,Inactive,2026-06-25 03:44:58,2.1.4.56
svcLFWarehouse1,L508460CA7C15F,RDC,Inactive,2026-06-25 16:04:57,2.1.4.56
svcLFWarehouse1,L5084B6D902929,RDC,Active,2026-06-25 19:13:15,2.1.4.56
svcLFWarehouse1,L5084B6D667DA9,ICQA,Inactive,2026-06-25 15:48:04,2.1.4.55
MEK4UBI,L5084B6D3FA513,RDC,Inactive,2026-06-23 22:03:40,2.1.4.56
svcLFWarehouse1,L5084B6D902DF5,RDC,Inactive,2026-06-23 03:04:41,2.1.4.56
svcLFWarehouse1,L5084B6D902E65,RDC,Active,2026-06-21 16:00:02,2.1.4.56
svcLFWarehouse1,L508470EFC6266,RDC,Inactive,2026-05-18 07:54:42,2.1.3.55
svcLFWarehouse1,L5084B6D8DFD44,RDC,Inactive,2026-06-26 03:36:08,2.1.4.56
svcLFWarehouse1,L5084B6D902F42,RDC,Inactive,2026-06-25 23:21:25,2.1.4.56
LEP2277,L5084B6D667DA9,ICQA,Inactive,2026-06-26 03:09:14,2.1.4.55
TCR6447,L5084E01C5EEFC,ICQA,Inactive,2026-05-13 03:17:24,2.1.0.0
svcLFWarehouse1,L508460CA7C249,ICQA,Inactive,2026-06-25 09:53:19,2.1.4.55
svcLFWarehouse1,L5084B6D8EA920,RDC,Active,2026-06-24 21:44:24,2.1.4.56
svcLFWarehouse1,L5084B6D90282B,RDC,Inactive,2026-06-25 00:18:10,2.1.4.56
svcLFWarehouse1,L508470EFC64A5,RDC,Active,2026-06-19 16:37:12,2.1.4.56
svcLFWarehouse1,L508470EFC9724,RDC,Active,2026-06-23 07:07:20,2.1.4.56
BXR6053,L5084E01BDE502,ICQA,Inactive,2026-06-23 09:42:23,2.1.4.49
svcLFWarehouse1,L508470EFC6417,RDC,Active,2026-06-21 11:13:39,2.1.4.56
svcLFWarehouse1,L5084B6D3FA1C6,RDC,Inactive,2026-06-21 18:25:23,2.1.4.56
svcLFWarehouse1,L5084B6D8DFD2B,RDC,Inactive,2026-06-25 16:24:32,2.1.4.56
svcLFWarehouse1,L5084D6E8973C6,RDC,Inactive,2026-06-23 03:28:15,2.1.4.56
svcLFWarehouse1,L508470EFC61D9,RDC,Inactive,2026-06-23 08:02:35,2.1.4.56
bxr6053,L5084B6D94E951,ICQA,Inactive,2026-06-25 19:05:50,2.1.4.55
JAL0333,L5084B6D94E951,ICQA,Inactive,2026-06-21 18:27:52,2.1.4.55
GBS6J8,L508460CA84665,ICQA,Inactive,2026-06-21 18:22:22,2.1.4.55
KRS16ZD,L5084E01C5EEFC,ICQA,Inactive,2026-05-10 18:25:23,2.1.0.0
BXW1389,L5084F83CF2A98,ICQA,Active,2026-06-12 07:14:34,2.1.4.0
bxw1389,L5084B6D667DA9,ICQA,Inactive,2026-06-21 18:28:57,2.1.4.55
KRS16ZD,L5084F83CF5F16,ICQA,Inactive,2026-06-23 08:15:38,2.1.4.0
BXW1389,L5084B6D3F99DD,ICQA,Active,2026-06-19 17:22:29,2.1.4.55
svcLFWarehouse1,L508470EFC977B,RDC,Inactive,2026-06-21 14:43:22,2.1.4.55
svcLFWarehouse1,L50841A105C69F,RDC,Inactive,2026-05-25 11:22:45,2.1.4.0
svcLFWarehouse1,L5084B6D90256B,RDC,Inactive,2026-06-21 15:29:53,2.1.4.56
svcLFWarehouse1,L508460CA84760,RDC,Inactive,2026-06-22 18:46:04,2.1.4.56
DXP4070,L5084B6D3FA1E5,ICQA,Active,2026-06-21 08:32:30,2.1.4.55
svcLFWarehouse1,L5084B6D9028EE,RDC,Inactive,2026-06-24 17:52:42,2.1.4.56
svcLFWarehouse1,L5084B6D90965D,RDC,Active,2026-05-03 13:37:22,2.1.0.0
svcLFWarehouse1,L508460CA7BD80,RDC,Inactive,2026-06-24 07:57:21,2.1.4.0
svcLFWarehouse1,L508460CA7C46C,RDC,Inactive,2026-06-17 12:24:47,2.1.4.0
svcLFWarehouse1,L5084E43A01517,RDC,Active,2026-06-19 14:34:56,2.1.4.56
BXW1389,L5084E01BDE502,ICQA,Active,2026-05-23 07:09:40,2.1.4.0
KXM1NK3,L508460CA84665,ICQA,Inactive,2026-06-26 02:56:33,2.1.4.55
svcLFWarehouse1,L5084B6D4695AA,RDC,Active,2026-06-21 06:29:45,2.1.4.0
LEP2277,L5084F83CF5F16,ICQA,Inactive,2026-05-04 23:12:03,2.1.0.0
JAL0333,L5084F83CF5F16,ICQA,Inactive,2026-06-21 13:33:09,2.1.4.49
svcLFWarehouse1,L508460CA7611F,RDC,Active,2026-06-19 18:03:51,2.1.4.56
TXC4537,L508460CA84665,ICQA,Active,2026-05-13 17:06:23,2.1.0.0
TCR6447,L5084B6D94E951,ICQA,Inactive,2026-05-15 03:14:01,2.1.1.0
BXR6053,L5084F83CF2A98,ICQA,Active,2026-05-13 20:39:01,2.1.0.0
BXR6053,L5084B6D3F99DD,ICQA,Active,2026-05-21 12:24:40,2.1.4.0
svcLFWarehouse1,L5084B6D8EA959,RDC,Active,2026-06-19 17:07:06,2.1.4.0
JAL0333,L5084B6D3F99DD,ICQA,Active,2026-05-22 18:16:31,2.1.4.0
Fusion Octane,WORKSHOP,RDC,Active,2026-06-19 13:15:24,2.1.4.56
svcLFWarehouse1,L508460CA7C4CC,RDC,Active,2026-06-20 06:55:21,2.1.4.56
svcLFWarehouse1,L5084B6D9028E4,RDC,Active,2026-05-29 10:48:07,2.1.4.0
RDR6AAK,L5084B6D8E9DE3,ICQA,Active,2026-06-05 18:14:51,2.1.4.0
svcLFWarehouse1,L5084B6D442313,RDC,Inactive,2026-06-20 10:25:53,2.1.4.56
