Machine,Nickname,Groups,Notes
L50841A105C69F,Panda 1,Fluid;Warehouse,
L50841A1063355,FP FL,Fluid;Warehouse,
L50841B5658455,QA Laptop 1 (OLD),ICQA,
L508460CA1C803,,,
L508460CA3A4B4,,,
L508460CA7611F,OB 363,Outbound;Warehouse,
L508460CA7BD80,OB 299,Outbound;Warehouse,
L508460CA7C15F,BP DESK 1,Warehouse,
L508460CA7C1C7,,,
L508460CA7C249,Panda 4,Fluid;Warehouse,
L508460CA7C46C,OB 348,Outbound;Warehouse,
L508460CA7C4CC,IB 130,Inbound;Warehouse,
L508460CA84665,Left Computer,Inbound Office,
L508460CA84760,OB 314,Outbound;Warehouse,
L508470EFC61D9,,Warehouse,
L508470EFC6266,OB320,Outbound;Warehouse,
L508470EFC6417,FP BL,Fluid;Warehouse,
L508470EFC64A5,OB 393,Outbound;Warehouse,
L508470EFC9724,OB 381,Outbound;Warehouse,
L508470EFC977B,,Warehouse,
L508470EFC97CC,IB 138,Inbound;Warehouse,
L508470EFC9849,IB 118,Inbound;Warehouse,
L5084717EAD898,QA Office,ICQA;Leader,
L508483A5E67EF,Panda 3,Fluid;Warehouse,
L5084B6D3DB3B7,,,
L5084B6D3F8997,QA Office Left,ICQA,
L5084B6D3F99DD,Right Computer,Inbound Office,
L5084B6D3FA1C6,PTS DESK 1,Warehouse,
L5084B6D3FA1E5,IBCC Leader Right,Leader,
L5084B6D3FA2A1,,,
L5084B6D3FA513,,Leader;Warehouse,
L5084B6D442313,IB 135,Inbound;Warehouse,
L5084B6D4695AA,FP BR,Fluid;Warehouse,
L5084B6D667DA9,QA Computer 3,ICQA,
L5084B6D8DFD2B,MHE DESK,Warehouse,
L5084B6D8DFD44,OBCC RIGHT,Outbound;Warehouse,
L5084B6D8E90DE,PTS DESK 2,Warehouse,
L5084B6D8E9DE3,Transportation,Leader,
L5084B6D8EA920,FLUID DESK LEFT,Fluid;Warehouse,
L5084B6D8EA959,,Warehouse,
L5084B6D902224,,,
L5084B6D90256B,FLUID DESK RIGHT,Fluid;Warehouse,
L5084B6D90282B,OBCC LEFT,Outbound;Warehouse,
L5084B6D9028E4,Equipment Training,Warehouse,
L5084B6D9028EE,,Warehouse,
L5084B6D902929,,Warehouse,
L5084B6D902DF5,IBCC Left,Warehouse,
L5084B6D902E65,Panda 5,Fluid;Warehouse,
L5084B6D902F42,,Warehouse,
L5084B6D90965D,,Warehouse,
L5084B6D90A3E6,,,
L5084B6D94E951,QA Computer 1,ICQA,
L5084D6E89737C,FP FR,Fluid;Warehouse,
L5084D6E8973C6,,Warehouse,
L5084E01BABC66,IB 122,Inbound;Warehouse,
L5084E01BABCF8,QA Computer 2,ICQA,
L5084E01BABE94,OB 338,Outbound;Warehouse,
L5084E01BDE502,QA Office Right,ICQA,
L5084E01C5EEFC,QA Computer 2 OLD,ICQA,
L5084E43A01517,Panda 2,Fluid;Warehouse,
L5084F832ECC9F,IB 140,Inbound;Warehouse,
L5084F83CF2A98,QA Laptop 1,ICQA,
L5084F83CF5F16,QA Laptop 2,ICQA,
UIMMRRFQK519053,TEST,Developer,
WORKSHOP,Developer Computer,Developer,
